Dias,Data,Tipo de Planta,Quantidade de Luz (horas/dia),Altura da Planta (cm),Condição Ambiental (Umidade),Condição Ambiental (Temperatura °C)
1,2025-03-22,Alface,2,0.5,75,22
2,2025-03-23,Alface,2,0.8,78,21
3,2025-03-24,Alface,2,1.1,76,23
4,2025-03-25,Alface,2,1.4,77,22
5,2025-03-26,Alface,4,2.1,79,20
6,2025-03-27,Alface,4,2.8,80,22
7,2025-03-28,Alface,4,3.5,77,24
8,2025-03-29,Alface,4,4.2,76,23
9,2025-03-30,Alface,6,5.5,75,21
10,2025-03-31,Alface,6,6.8,78,22
11,2025-04-01,Alface,6,8.1,76,20
12,2025-04-02,Alface,6,9.4,77,23
13,2025-04-03,Alface,8,11.0,79,22
14,2025-04-04,Alface,8,12.5,80,21
15,2025-04-05,Alface,8,14.0,77,24
16,2025-04-06,Alface,8,15.5,76,22
17,2025-04-07,Alface,10,17.0,75,20
18,2025-04-08,Alface,10,18.5,78,23
19,2025-04-09,Alface,10,20.0,76,21
20,2025-04-10,Alface,10,21.5,77,22
21,2025-04-11,Tomate,2,0.3,80,25
22,2025-04-12,Tomate,2,0.6,82,24
23,2025-04-13,Tomate,2,0.9,81,26
24,2025-04-14,Tomate,2,1.2,83,25
25,2025-04-15,Tomate,4,1.8,79,23
26,2025-04-16,Tomate,4,2.5,80,24
27,2025-04-17,Tomate,4,3.2,82,22
28,2025-04-18,Tomate,4,3.9,81,25
29,2025-04-19,Tomate,6,5.0,78,24
30,2025-04-20,Tomate,6,6.2,83,23
31,2025-04-21,Tomate,6,7.4,80,26
32,2025-04-22,Tomate,6,8.6,81,25
33,2025-04-23,Tomate,8,10.0,82,24
34,2025-04-24,Tomate,8,11.5,79,23
35,2025-04-25,Tomate,8,13.0,81,22
36,2025-04-26,Tomate,8,14.5,80,25
37,2025-04-27,Tomate,10,16.0,83,24
38,2025-04-28,Tomate,10,17.5,82,23
39,2025-04-29,Tomate,10,19.0,81,26
40,2025-04-30,Tomate,10,20.5,79,25
41,2025-05-01,Manjericão,2,0.2,70,20
42,2025-05-02,Manjericão,2,0.4,72,19
43,2025-05-03,Manjericão,2,0.6,71,21
44,2025-05-04,Manjericão,2,0.8,73,20
45,2025-05-05,Manjericão,4,1.2,75,18
46,2025-05-06,Manjericão,4,1.6,76,20
47,2025-05-07,Manjericão,4,2.0,74,22
48,2025-05-08,Manjericão,4,2.4,73,21
49,2025-05-09,Manjericão,6,3.0,72,19
50,2025-05-10,Manjericão,6,3.6,77,20
51,2025-05-11,Manjericão,6,4.2,74,23
52,2025-05-12,Manjericão,6,4.8,75,22
53,2025-05-13,Manjericão,8,5.5,76,21
54,2025-05-14,Manjericão,8,6.2,73,20
55,2025-05-15,Manjericão,8,6.9,77,19
56,2025-05-16,Manjericão,8,7.6,74,22
57,2025-05-17,Manjericão,10,8.3,75,20
58,2025-05-18,Manjericão,10,9.0,78,21
59,2025-05-19,Manjericão,10,9.7,76,23
60,2025-05-20,Manjericão,10,10.4,77,22
61,2025-05-21,Pimenta,2,0.1,85,28
62,2025-05-22,Pimenta,2,0.2,86,27
63,2025-05-23,Pimenta,2,0.3,84,29
64,2025-05-24,Pimenta,2,0.4,87,28
65,2025-05-25,Pimenta,4,0.7,83,26
66,2025-05-26,Pimenta,4,1.0,88,27
67,2025-05-27,Pimenta,4,1.3,85,29
68,2025-05-28,Pimenta,4,1.6,86,28
69,2025-05-29,Pimenta,6,2.0,87,27
70,2025-05-30,Pimenta,6,2.4,84,26
71,2025-05-31,Pimenta,6,2.8,88,29
72,2025-06-01,Pimenta,6,3.2,85,28
73,2025-06-02,Pimenta,8,3.7,86,27
74,2025-06-03,Pimenta,8,4.2,83,26
75,2025-06-04,Pimenta,8,4.7,87,29
76,2025-06-05,Pimenta,8,5.2,84,28
77,2025-06-06,Pimenta,10,5.7,88,27
78,2025-06-07,Pimenta,10,6.2,86,26
79,2025-06-08,Pimenta,10,6.7,85,29
80,2025-06-09,Pimenta,10,7.2,87,28
81,2025-06-10,Orquídea,4,0.5,60,22
82,2025-06-11,Orquídea,4,0.6,62,21
83,2025-06-12,Orquídea,4,0.7,61,23
84,2025-06-13,Orquídea,4,0.8,63,22
85,2025-06-14,Orquídea,6,1.0,65,20
86,2025-06-15,Orquídea,6,1.2,66,22
87,2025-06-16,Orquídea,6,1.4,64,24
88,2025-06-17,Orquídea,6,1.6,63,23
89,2025-06-18,Orquídea,8,1.8,62,21
90,2025-06-19,Orquídea,8,2.0,67,22
91,2025-06-20,Orquídea,8,2.2,64,20
92,2025-06-21,Orquídea,8,2.4,65,23
93,2025-06-22,Orquídea,10,2.6,66,22
94,2025-06-23,Orquídea,10,2.8,63,21
95,2025-06-24,Orquídea,10,3.0,67,19
96,2025-06-25,Orquídea,10,3.2,64,22
97,2025-06-26,Girassol,6,2.0,70,25
98,2025-06-27,Girassol,8,3.5,72,24
99,2025-06-28,Girassol,10,5.0,71,26
100,2025-06-29,Girassol,12,6.5,73,25